Bereich,Unterbereich,Teilbereich31,Teilbereich,Menge,Jahr,lfdNr
Innere Verwaltung, Public Relations,14,Bilanzielle Abschreibungen,6467.35,2009,6120
Innere Verwaltung, Public Relations,15,Transferaufwendungen,1500.00,2009,6121
Innere Verwaltung, Public Relations,16,Sonstige ordentliche Aufwendungen,344362.25,2009,6122
Innere Verwaltung, Public Relations,17,Ordentliche Aufwendungen,1237207.03,2009,6123
Innere Verwaltung, Public Relations,18,Ordentliches Ergebnis,1122455.67,2009,6124
Innere Verwaltung, Public Relations,22,Ergebnis lfd. Verwaltungstätigkeit,1122455.67,2009,6125
Innere Verwaltung, Public Relations,26,Ergebnis vor int.Leistungsbeziehungen,1122455.67,2009,6126
Innere Verwaltung, Public Relations,28,Aufwend. aus int.Leistungsbeziehungen,70459.92,2009,6127
Innere Verwaltung, Public Relations,Interne,Leistungsbeziehungen,70459.92,2009,6128
Innere Verwaltung, Personal- und Organisationsmanagement,2,Zuwendungen und allgemeine Umlagen,0.00,2009,6130
Innere Verwaltung, Personal- und Organisationsmanagement,6,Kostenerstattungen und Kostenumlagen,-755909.58,2009,6131
Innere Verwaltung, Personal- und Organisationsmanagement,7,Sonstige ordentliche Erträge,-958728.63,2009,6132
Innere Verwaltung, Personal- und Organisationsmanagement,10,Ordentliche Erträge,-1714638.21,2009,6133
Innere Verwaltung, Personal- und Organisationsmanagement,11,Personalaufwendungen,3624453.12,2009,6134
Innere Verwaltung, Personal- und Organisationsmanagement,12,Versorgungsaufwendungen,1592389.45,2009,6135
Innere Verwaltung, Personal- und Organisationsmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,368770.00,2009,6136
Innere Verwaltung, Personal- und Organisationsmanagement,14,Bilanzielle Abschreibungen,11588.67,2009,6137
Innere Verwaltung, Personal- und Organisationsmanagement,15,Transferaufwendungen,13189.00,2009,6138
Innere Verwaltung, Personal- und Organisationsmanagement,16,Sonstige ordentliche Aufwendungen,1171653.60,2009,6139
Innere Verwaltung, Personal- und Organisationsmanagement,17,Ordentliche Aufwendungen,6782043.84,2009,6140
Innere Verwaltung, Personal- und Organisationsmanagement,18,Ordentliches Ergebnis,5067405.63,2009,6141
Innere Verwaltung, Personal- und Organisationsmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,5067405.63,2009,6142
Innere Verwaltung, Personal- und Organisationsmanagement,26,Ergebnis vor int.Leistungsbeziehungen,5067405.63,2009,6143
Innere Verwaltung, Personal- und Organisationsmanagement,28,Aufwend. aus int.Leistungsbeziehungen,187880.04,2009,6144
Innere Verwaltung, Personal- und Organisationsmanagement,Interne,Leistungsbeziehungen,187880.04,2009,6145
Innere Verwaltung, Finanz- und Beteiligungsmanagement,2,Zuwendungen und allgemeine Umlagen,0.00,2009,6147
Innere Verwaltung, Finanz- und Beteiligungsmanagement,4,Öffentlich-rechtl. Leistungsentgelte,0.00,2009,6148
Innere Verwaltung, Finanz- und Beteiligungsmanagement,6,Kostenerstattungen und Kostenumlagen,-420267.08,2009,6149
Innere Verwaltung, Finanz- und Beteiligungsmanagement,7,Sonstige ordentliche Erträge,-1248406.17,2009,6150
Innere Verwaltung, Finanz- und Beteiligungsmanagement,10,Ordentliche Erträge,-1668673.25,2009,6151
Innere Verwaltung, Finanz- und Beteiligungsmanagement,11,Personalaufwendungen,4673172.39,2009,6152
Innere Verwaltung, Finanz- und Beteiligungsmanagement,12,Versorgungsaufwendungen,1337253.09,2009,6153
Innere Verwaltung, Finanz- und Beteiligungsmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,727276.70,2009,6154
Innere Verwaltung, Finanz- und Beteiligungsmanagement,14,Bilanzielle Abschreibungen,36147.66,2009,6155
Innere Verwaltung, Finanz- und Beteiligungsmanagement,15,Transferaufwendungen,5705.86,2009,6156
Innere Verwaltung, Finanz- und Beteiligungsmanagement,16,Sonstige ordentliche Aufwendungen,1081569.04,2009,6157
Innere Verwaltung, Finanz- und Beteiligungsmanagement,17,Ordentliche Aufwendungen,7861124.74,2009,6158
Innere Verwaltung, Finanz- und Beteiligungsmanagement,18,Ordentliches Ergebnis,6192451.49,2009,6159
Innere Verwaltung, Finanz- und Beteiligungsmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,6192451.49,2009,6160
Innere Verwaltung, Finanz- und Beteiligungsmanagement,26,Ergebnis vor int.Leistungsbeziehungen,6192451.49,2009,6161
Innere Verwaltung, Finanz- und Beteiligungsmanagement,28,Aufwend. aus int.Leistungsbeziehungen,375770.00,2009,6162
Innere Verwaltung, Finanz- und Beteiligungsmanagement,Interne,Leistungsbeziehungen,375770.00,2009,6163
Innere Verwaltung, Recht,2,Zuwendungen und allgemeine Umlagen,-17491.00,2009,6165
Innere Verwaltung, Recht,4,Öffentlich-rechtl. Leistungsentgelte,-55721.37,2009,6166
Innere Verwaltung, Recht,5,Privatrechtliche Leistungsentgelte,-31542.14,2009,6167
Innere Verwaltung, Recht,6,Kostenerstattungen und Kostenumlagen,-339939.70,2009,6168
Innere Verwaltung, Recht,10,Ordentliche Erträge,-444694.21,2009,6169
Innere Verwaltung, Recht,11,Personalaufwendungen,569060.42,2009,6170
Innere Verwaltung, Recht,12,Versorgungsaufwendungen,178321.00,2009,6171
Innere Verwaltung, Recht,13,Aufwendungen f.Sach-/Dienstleistungen,43260.64,2009,6172
Innere Verwaltung, Recht,14,Bilanzielle Abschreibungen,9660.61,2009,6173
Innere Verwaltung, Recht,16,Sonstige ordentliche Aufwendungen,888667.84,2009,6174
Innere Verwaltung, Recht,17,Ordentliche Aufwendungen,1688970.51,2009,6175
Innere Verwaltung, Recht,18,Ordentliches Ergebnis,1244276.30,2009,6176
Innere Verwaltung, Recht,22,Ergebnis lfd. Verwaltungstätigkeit,1244276.30,2009,6177
Innere Verwaltung, Recht,26,Ergebnis vor int.Leistungsbeziehungen,1244276.30,2009,6178
Innere Verwaltung, Recht,28,Aufwend. aus int.Leistungsbeziehungen,58708.08,2009,6179
Innere Verwaltung, Recht,Interne,Leistungsbeziehungen,58708.08,2009,6180
Innere Verwaltung, Immobilienmanagement,2,Zuwendungen und allgemeine Umlagen,-72502.15,2009,6182
Innere Verwaltung, Immobilienmanagement,4,Öffentlich-rechtl. Leistungsentgelte,-52538.21,2009,6183
Innere Verwaltung, Immobilienmanagement,5,Privatrechtliche Leistungsentgelte,-12448532.32,2009,6184
Innere Verwaltung, Immobilienmanagement,6,Kostenerstattungen und Kostenumlagen,-160643.50,2009,6185
Innere Verwaltung, Immobilienmanagement,7,Sonstige ordentliche Erträge,-19870631.55,2009,6186
Innere Verwaltung, Immobilienmanagement,8,Aktivierte Eigenleistungen,0.00,2009,6187
Innere Verwaltung, Immobilienmanagement,10,Ordentliche Erträge,-32604847.73,2009,6188
Innere Verwaltung, Immobilienmanagement,11,Personalaufwendungen,1796362.14,2009,6189
Innere Verwaltung, Immobilienmanagement,12,Versorgungsaufwendungen,592611.55,2009,6190
Innere Verwaltung, Immobilienmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,8235839.27,2009,6191
Innere Verwaltung, Immobilienmanagement,14,Bilanzielle Abschreibungen,183958.83,2009,6192
Innere Verwaltung, Immobilienmanagement,15,Transferaufwendungen,70312.50,2009,6193
Innere Verwaltung, Immobilienmanagement,16,Sonstige ordentliche Aufwendungen,13821542.74,2009,6194
Innere Verwaltung, Immobilienmanagement,17,Ordentliche Aufwendungen,24700627.03,2009,6195
Innere Verwaltung, Immobilienmanagement,18,Ordentliches Ergebnis,-7904220.70,2009,6196
Innere Verwaltung, Immobilienmanagement,19,Finanzerträge,0.00,2009,6197
Innere Verwaltung, Immobilienmanagement,21,Finanzergebnis,0.00,2009,6198
Innere Verwaltung, Immobilienmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,-7904220.70,2009,6199
Innere Verwaltung, Immobilienmanagement,26,Ergebnis vor int.Leistungsbeziehungen,-7904220.70,2009,6200
Innere Verwaltung, Immobilienmanagement,28,Aufwend. aus int.Leistungsbeziehungen,122010.00,2009,6201
Innere Verwaltung, Immobilienmanagement,Interne,Leistungsbeziehungen,122010.00,2009,6202
Innere Verwaltung, Gebäudemanagement,2,Zuwendungen und allgemeine Umlagen,-7367025.37,2009,6204
Innere Verwaltung, Gebäudemanagement,4,Öffentlich-rechtl. Leistungsentgelte,-5229.33,2009,6205
Innere Verwaltung, Gebäudemanagement,5,Privatrechtliche Leistungsentgelte,-101663.81,2009,6206
Innere Verwaltung, Gebäudemanagement,6,Kostenerstattungen und Kostenumlagen,-336718.45,2009,6207
Innere Verwaltung, Gebäudemanagement,7,Sonstige ordentliche Erträge,-789751.68,2009,6208
Innere Verwaltung, Gebäudemanagement,8,Aktivierte Eigenleistungen,-344471.52,2009,6209
Innere Verwaltung, Gebäudemanagement,10,Ordentliche Erträge,-8944860.16,2009,6210
Innere Verwaltung, Gebäudemanagement,11,Personalaufwendungen,7985122.38,2009,6211
Innere Verwaltung, Gebäudemanagement,12,Versorgungsaufwendungen,619313.61,2009,6212
Innere Verwaltung, Gebäudemanagement,13,Aufwendungen f.Sach-/Dienstleistungen,30050708.49,2009,6213
Innere Verwaltung, Gebäudemanagement,14,Bilanzielle Abschreibungen,15986949.87,2009,6214
Innere Verwaltung, Gebäudemanagement,15,Transferaufwendungen,6447.77,2009,6215
Innere Verwaltung, Gebäudemanagement,16,Sonstige ordentliche Aufwendungen,1782615.76,2009,6216
Innere Verwaltung, Gebäudemanagement,17,Ordentliche Aufwendungen,56431157.88,2009,6217
Innere Verwaltung, Gebäudemanagement,18,Ordentliches Ergebnis,47486297.72,2009,6218
Innere Verwaltung, Gebäudemanagement,22,Ergebnis lfd. Verwaltungstätigkeit,47486297.72,2009,6219
Innere Verwaltung, Gebäudemanagement,26,Ergebnis vor int.Leistungsbeziehungen,47486297.72,2009,6220
Innere Verwaltung, Gebäudemanagement,28,Aufwend. aus int.Leistungsbeziehungen,-49417596.72,2009,6221
Innere Verwaltung, Gebäudemanagement,Interne,Leistungsbeziehungen,-49417596.72,2009,6222
Innere Verwaltung, Zentrale Dienste,2,Zuwendungen und allgemeine Umlagen,-861.92,2009,6224
Innere Verwaltung, Zentrale Dienste,5,Privatrechtliche Leistungsentgelte,-963323.37,2009,6225
Innere Verwaltung, Zentrale Dienste,6,Kostenerstattungen und Kostenumlagen,-609935.19,2009,6226
Innere Verwaltung, Zentrale Dienste,7,Sonstige ordentliche Erträge,-46749.18,2009,6227
Innere Verwaltung, Zentrale Dienste,10,Ordentliche Erträge,-1620869.66,2009,6228
Innere Verwaltung, Zentrale Dienste,11,Personalaufwendungen,1797628.15,2009,6229
Innere Verwaltung, Zentrale Dienste,12,Versorgungsaufwendungen,89109.38,2009,6230
Innere Verwaltung, Zentrale Dienste,13,Aufwendungen f.Sach-/Dienstleistungen,1337536.32,2009,6231
Innere Verwaltung, Zentrale Dienste,14,Bilanzielle Abschreibungen,115948.52,2009,6232
Innere Verwaltung, Zentrale Dienste,16,Sonstige ordentliche Aufwendungen,407539.68,2009,6233
Innere Verwaltung, Zentrale Dienste,17,Ordentliche Aufwendungen,3747762.05,2009,6234
Innere Verwaltung, Zentrale Dienste,18,Ordentliches Ergebnis,2126892.39,2009,6235
Innere Verwaltung, Zentrale Dienste,22,Ergebnis lfd. Verwaltungstätigkeit,2126892.39,2009,6236
Innere Verwaltung, Zentrale Dienste,26,Ergebnis vor int.Leistungsbeziehungen,2126892.39,2009,6237
Innere Verwaltung, Zentrale Dienste,28,Aufwend. aus int.Leistungsbeziehungen,41100.00,2009,6238
Innere Verwaltung, Zentrale Dienste,Interne,Leistungsbeziehungen,41100.00,2009,6239
Innere Verwaltung, Stiftungsmanagement,6,Kostenerstattungen und Kostenumlagen,-319950.99,2009,6241
Innere Verwaltung, Stiftungsmanagement,10,Ordentliche Erträge,-319950.99,2009,6242
Innere Verwaltung, Stiftungsmanagement,11,Personalaufwendungen,330690.49,2009,6243
Innere Verwaltung, Stiftungsmanagement,12,Versorgungsaufwendungen,33575.28,2009,6244
Innere Verwaltung, Stiftungsmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,4860.00,2009,6245
Innere Verwaltung, Stiftungsmanagement,14,Bilanzielle Abschreibungen,4216.62,2009,6246
Innere Verwaltung, Stiftungsmanagement,16,Sonstige ordentliche Aufwendungen,14745.15,2009,6247
Innere Verwaltung, Stiftungsmanagement,17,Ordentliche Aufwendungen,388087.54,2009,6248
Innere Verwaltung, Stiftungsmanagement,18,Ordentliches Ergebnis,68136.55,2009,6249
Innere Verwaltung, Stiftungsmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,68136.55,2009,6250
Innere Verwaltung, Stiftungsmanagement,26,Ergebnis vor int.Leistungsbeziehungen,68136.55,2009,6251
Innere Verwaltung, Stiftungsmanagement,28,Aufwend. aus int.Leistungsbeziehungen,64579.44,2009,6252
Innere Verwaltung, Stiftungsmanagement,Interne,Leistungsbeziehungen,64579.44,2009,6253
Innere Verwaltung, IT-Management,7,Sonstige ordentliche Erträge,0.00,2009,6255
Innere Verwaltung, IT-Management,10,Ordentliche Erträge,0.00,2009,6256
Innere Verwaltung, IT-Management,16,Sonstige ordentliche Aufwendungen,0.00,2009,6257
Innere Verwaltung, IT-Management,17,Ordentliche Aufwendungen,0.00,2009,6258
Innere Verwaltung, IT-Management,18,Ordentliches Ergebnis,0.00,2009,6259
Innere Verwaltung, IT-Management,19,Finanzerträge,-1746997.69,2009,6260
Innere Verwaltung, IT-Management,21,Finanzergebnis,-1746997.69,2009,6261
Innere Verwaltung, IT-Management,22,Ergebnis lfd. Verwaltungstätigkeit,-1746997.69,2009,6262
Innere Verwaltung, IT-Management,26,Ergebnis vor int.Leistungsbeziehungen,-1746997.69,2009,6263
Innere Verwaltung, Migrations- und Integrationsmanagement,2,Zuwendungen und allgemeine Umlagen,-36204.81,2009,6265
Innere Verwaltung, Migrations- und Integrationsmanagement,6,Kostenerstattungen und Kostenumlagen,-140212.49,2009,6266
Innere Verwaltung, Migrations- und Integrationsmanagement,7,Sonstige ordentliche Erträge,0.00,2009,6267
Innere Verwaltung, Migrations- und Integrationsmanagement,10,Ordentliche Erträge,-176417.30,2009,6268
Innere Verwaltung, Migrations- und Integrationsmanagement,11,Personalaufwendungen,419530.03,2009,6269
Innere Verwaltung, Migrations- und Integrationsmanagement,12,Versorgungsaufwendungen,55730.93,2009,6270
Innere Verwaltung, Migrations- und Integrationsmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,12446.15,2009,6271
Innere Verwaltung, Migrations- und Integrationsmanagement,14,Bilanzielle Abschreibungen,1904.83,2009,6272
Innere Verwaltung, Migrations- und Integrationsmanagement,15,Transferaufwendungen,44810.00,2009,6273
Innere Verwaltung, Migrations- und Integrationsmanagement,16,Sonstige ordentliche Aufwendungen,124782.17,2009,6274
Innere Verwaltung, Migrations- und Integrationsmanagement,17,Ordentliche Aufwendungen,659204.11,2009,6275
Innere Verwaltung, Migrations- und Integrationsmanagement,18,Ordentliches Ergebnis,482786.81,2009,6276
Innere Verwaltung, Migrations- und Integrationsmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,482786.81,2009,6277
Innere Verwaltung, Migrations- und Integrationsmanagement,26,Ergebnis vor int.Leistungsbeziehungen,482786.81,2009,6278
Innere Verwaltung, Migrations- und Integrationsmanagement,28,Aufwend. aus int.Leistungsbeziehungen,41099.88,2009,6279
Innere Verwaltung, Migrations- und Integrationsmanagement,Interne,Leistungsbeziehungen,41099.88,2009,6280
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,2,Zuwendungen und allgemeine Umlagen,0.00,2009,6282
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,4,Öffentlich-rechtl. Leistungsentgelte,-501467.39,2009,6283
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,5,Privatrechtliche Leistungsentgelte,-15089.86,2009,6284
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,6,Kostenerstattungen und Kostenumlagen,-79489.31,2009,6285
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,7,Sonstige ordentliche Erträge,-78744.43,2009,6286
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,10,Ordentliche Erträge,-674790.99,2009,6287
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,11,Personalaufwendungen,1425120.08,2009,6288
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,12,Versorgungsaufwendungen,139765.47,2009,6289
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,13,Aufwendungen f.Sach-/Dienstleistungen,273382.01,2009,6290
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,14,Bilanzielle Abschreibungen,18434.45,2009,6291
